profile_id	source_product_id	source_product_name	target_product_id	target_product_name	split	rank	score	local_accord	visual_note	local_family	global_accord	global_family	cross_ref_global_to_local_accord	cross_ref_global_to_local_family	same_global_reference	sem_similar	enriched_cross_ref_bonus
9	9	Classic Vintage	1	Verve Vale	test	7	3.435317	0.222222	0.416667	1.500000	0.571429	0.000000	0.525000	0.000000	0.000000	0.000000	0.200000
9	9	Classic Vintage	63	Sombrero	test	10	3.132143	0.857143	0.000000	0.000000	1.200000	0.000000	0.875000	0.000000	0.000000	0.000000	0.200000
10	10	Aquazone	17	Fuck Boy	train	2	5.426082	0.857143	0.416667	1.500000	0.375000	1.250000	0.477273	0.000000	0.000000	0.350000	0.200000
10	10	Aquazone	18	Colate Sport	train	3	4.913095	0.857143	0.416667	1.500000	0.714286	0.000000	0.875000	0.000000	0.000000	0.350000	0.200000
10	10	Aquazone	11	Solstice	train	5	4.317316	0.500000	0.416667	1.500000	0.714286	0.000000	0.636364	0.000000	0.000000	0.350000	0.200000
10	10	Aquazone	13	Pentavenue	train	6	4.233120	0.222222	0.416667	1.500000	0.375000	1.250000	0.269231	0.000000	0.000000	0.000000	0.200000
10	10	Aquazone	15	Patchouli Petals	train	8	3.791667	0.500000	0.416667	1.500000	0.533333	0.000000	0.291667	0.000000	0.000000	0.350000	0.200000
10	10	Aquazone	317	Iron Man	train	9	3.507143	0.857143	0.000000	0.000000	1.200000	0.000000	1.250000	0.000000	0.000000	0.000000	0.200000
10	10	Aquazone	16	Bosi Bottle	train	11	3.122619	0.000000	0.416667	1.500000	0.714286	0.000000	0.291667	0.000000	0.000000	0.000000	0.200000
10	10	Aquazone	20	Cloud Grande	train	12	3.005556	0.222222	0.416667	1.500000	0.375000	0.000000	0.291667	0.000000	0.000000	0.000000	0.200000
10	10	Aquazone	14	Black Ball	test	1	6.573810	0.857143	0.416667	1.500000	1.000000	1.250000	1.000000	0.000000	0.000000	0.350000	0.200000
10	10	Aquazone	12	Our First Love	test	4	4.857143	0.857143	0.416667	1.500000	0.833333	0.000000	0.700000	0.000000	0.000000	0.350000	0.200000
10	10	Aquazone	21	Whisper of Passion	test	7	4.011538	0.500000	0.416667	1.500000	0.461538	0.000000	0.583333	0.000000	0.000000	0.350000	0.200000
10	10	Aquazone	152	Fresh Matcha	test	10	3.500000	1.333333	0.000000	0.000000	0.800000	0.000000	1.166667	0.000000	0.000000	0.000000	0.200000
11	11	Solstice	47	Bad Boy	train	2	5.058333	1.333333	0.000000	0.000000	1.400000	1.250000	0.875000	0.000000	0.000000	0.000000	0.200000
11	11	Solstice	14	Black Ball	train	3	4.889150	0.857143	0.416667	1.500000	0.909091	0.000000	0.656250	0.000000	0.000000	0.350000	0.200000
